borough,boro,block,lot,bbl,hnum_lo,hnum_hi,str_name,crfn,grantee,deed_date,price,cap_rate,borough_cap_rate,yearqtr,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA,Location1
QN,4,9523,51,4095230051,104-35,104-35,102 STREET,2020000000000,104-35 102ND STREET LLC,05/05/2021,6100000,0.04137,0.048,2021Q2,11417,40.681169,-73.838505,10,32,94,4202006,South Ozone Park,"(40.681169, -73.838505)"
BK,3,6621,1,3066210001,106,106,AVENUE P,2020000000000,106 REALTY HOLDINGS LLC,03/01/2021,8150000,0.06161,0.0638,2021Q1,11204,40.607568,-73.984262,11,44,428,3175334,Bensonhurst East,"(40.607568, -73.984262)"
BK,3,6512,1,3065120001,900,900,AVENUE H,2020000000000,900 ASSETS LLC,01/10/2019,17767559,0.0291,0.03386,2019Q1,11230,40.629342,-73.967861,14,45,456,3170547,Midwood,"(40.629342, -73.967861)"
BX,2,3239,77,2032390077,2709,2709,HEATH AVENUE,2020000000000,VYSE HOLDING CORP.,03/07/2019,7230000,0.03287,0.03667,2019Q1,10463,40.871495,-73.905434,7,14,269,2015177,Kingsbridge Heights,"(40.871495, -73.905434)"
BX,2,3778,10,2037780010,1240,1240,MORRISON AVENUE,2020000000000,"MORRISON TOWER, LLC",04/21/2021,24412000,0.04652,0.04835,2021Q2,10472,40.830664,-73.874874,9,18,62,2025384,West Farms-Bronx River,"(40.830664, -73.874874)"
BX,2,3031,63,2030310063,4585,4585,PARK AVENUE,2020000000000,PARK PROPERTIES 4585-9 LLC,07/26/2018,4794425,0.02276,0.03426,2018Q3,10458,40.856947,-73.893814,6,15,38302,2011211,Fordham South,"(40.856947, -73.893814)"
MN,1,792,20,1007920020,125,129,WEST 16 STREET,2020000000000,"AAK ACQUISITIONS, LLC",04/05/2018,41409879,0.02082,0.03345,2018Q2,10011,40.739112,-73.996864,4,3,81,1014575,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.739112, -73.996864)"
MN,1,1836,47,1018360047,10,16,MANHATTAN AVENUE,2020000000000,QUALITY BH 108TH MANHATTAN LLC*YH 108TH MANHATTAN LLC*KFIR CAPITAL 108TH,10/16/2018,22000000,0.0292,0.03253,2018Q4,10025,40.795297,-73.963916,7,7,189,1055306,Upper West Side,"(40.795297, -73.963916)"
BK,3,1223,66,3012230066,947,947,ST MARKS AVENUE,2020000000000,947 SM LLC,05/15/2018,3620689,0.02347,0.03671,2018Q2,11213,40.674672,-73.940102,8,36,311,3030846,Crown Heights North,"(40.674672, -73.940102)"
BX,2,3319,14,2033190014,18,18,MINERVA PLACE,2020000000000,NO. ONE MET REALTY CORP,03/16/2020,3500000,0.03783,0.04097,2020Q1,10468,40.871085,-73.891025,7,14,40701,2017578,Van Cortlandt Village,"(40.871085, -73.891025)"
BK,3,1166,53,3011660053,750,750,WASHINGTON AVENUE,2020000000000,750 WASHINGTON PARTNERS LLC,12/04/2018,4375000,0.02321,0.03398,2018Q4,11238,40.675315,-73.963293,8,35,207,3029191,Prospect Heights,"(40.675315, -73.963293)"
BK,3,5053,26,3050530026,111,111,WOODRUFF AVENUE,2020000000000,111 WOODRUFF OWNER LLC,11/15/2018,13850000,0.01642,0.03398,2018Q4,11226,40.653801,-73.962472,14,40,50804,3115914,Flatbush,"(40.653801, -73.962472)"
MN,1,450,21,1004500021,334,334,EAST 9 STREET,2020000000000,EVP 334 EAST 9TH ST LLC,04/23/2021,8379598,0.03508,0.0556,2021Q2,10003,40.728783,-73.986315,3,2,38,1006372,East Village,"(40.728783, -73.986315)"
BK,3,5234,16,3052340016,608,608,RUGBY ROAD,2020000000000,"608 RUGBY ROAD, LLC",08/30/2018,7400000,0.03146,0.03538,2018Q3,11230,40.634608,-73.964133,14,40,520,3121114,Flatbush,"(40.634608, -73.964133)"
QN,4,15805,20,4158050020,205,205,BEACH 29 STREET,2020000000000,KNG PROPERTY LLC,11/06/2019,4000000,0.03142,0.04142,2019Q4,11691,40.59505,-73.76197,14,31,99802,,Far Rockaway-Bayswater,"(40.59505, -73.76197)"
MN,1,199,31,1001990031,102,102,BAYARD STREET,2020000000000,TANG BROTHERS HOLDINGS CORP.,05/17/2019,5500000,0.01639,0.0351,2019Q2,10013,40.716081,-73.999769,3,1,29,1076901,Chinatown,"(40.716081, -73.999769)"
BK,3,8765,27,3087650027,2742,2742,EAST 13 STREET,2020000000000,ALMOE EQUITIES LLC,05/15/2018,8800000,0.02803,0.03671,2018Q2,11235,40.584559,-73.955609,15,48,608,3246948,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.584559, -73.955609)"
BX,2,2763,220,2027630220,769,769,BRYANT AVENUE,2020000000000,BRYANT PROPERTIES 769 LLC,07/26/2018,8706380,0.02906,0.03426,2018Q3,10474,40.816057,-73.885946,2,17,117,2006552,Hunts Point,"(40.816057, -73.885946)"
BX,2,3179,41,2031790041,2105,2105,WALTON AVENUE,2020000000000,2105 WALTON AVE. LLC,07/28/2020,7000000,0.04618,0.046565,2020Q3,10453,40.854495,-73.905534,5,14,241,2013963,Mount Hope,"(40.854495, -73.905534)"
BK,3,6803,65,3068030065,2233,2233,OCEAN AVENUE,2020000000000,MIDWOOD APARTMENTS LLC,01/10/2019,5200000,0.02497,0.03386,2019Q1,11229,40.607329,-73.9529,15,48,550,3183217,Madison,"(40.607329, -73.9529)"
BX,2,3355,104,2033550104,3366,3366,DECATUR AVENUE,2020000000000,3366 DECATUR REALTY LLC,05/28/2020,7450000,0.04266,0.0451,2020Q2,10467,40.877681,-73.872884,7,11,42902,2018610,Norwood,"(40.877681, -73.872884)"
BX,2,4238,15,2042380015,3108,3108,WILKINSON AVENUE,2020000000000,3108 WILKINSON ASSOCIATES LLC,07/31/2018,5500000,0.02457,0.03426,2018Q3,10461,40.851653,-73.828635,10,13,300,2047437,Pelham Bay-Country Club-City Island,"(40.851653, -73.828635)"
BK,3,4727,16,3047270016,290,294,EAST 56 STREET,2020000000000,290 E56 HOLDINGS LLC*MTD 56 LLC,05/17/2018,3900000,0.02916,0.03671,2018Q2,11203,40.649838,-73.924361,17,45,938,,Rugby-Remsen Village,"(40.649838, -73.924361)"
BX,2,3996,38,2039960038,2450,2450,FULLER STREET,2020000000000,2450 FULLER LLC,09/17/2019,3000000,0.03667,0.03926,2019Q3,10461,40.841803,-73.851036,10,18,204,2042207,Westchester-Unionport,"(40.841803, -73.851036)"
BK,3,1028,66,3010280066,227,227,13 STREET,2020000000000,"225 13 ST, LLC",02/17/2021,8500000,0.06327,0.0638,2021Q1,11215,40.667498,-73.989792,6,39,139,,Park Slope-Gowanus,"(40.667498, -73.989792)"
MN,1,2167,63,1021670063,258,264,WADSWORTH AVENUE,2020000000000,"258 WADSWORTH REALTY LLC, TENANT-IN-COMM",06/22/2021,7956000,0.04222,0.0556,2021Q2,10033,40.853111,-73.932585,12,10,271,,Washington Heights North,"(40.853111, -73.932585)"
