borough,boro,block,lot,bbl,hnum_lo,hnum_hi,str_name,crfn,grantee,deed_date,price,cap_rate,borough_cap_rate,yearqtr,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA,Location1
BX,2,3248,131,2032480131,2715,2715,CLAFLIN AVENUE,2020000000000,"CLAFLIN HEIGHTS ASSOCIATES, LLC",08/16/2019,3680000,0.02493,0.03926,2019Q3,10468,40.869658,-73.901061,8,14,26701,2015285,Van Cortlandt Village,"(40.869658, -73.901061)"
BX,2,3308,12,2033080012,226,226,EAST 203 STREET,2020000000000,226 E 203 LLC*226 E 203 II LLC,09/05/2018,7250000,0.03116,0.03426,2018Q3,10458,40.873714,-73.885594,7,11,413,2017237,Bedford Park-Fordham North,"(40.873714, -73.885594)"
MN,1,2136,60,1021360060,638,644,WEST 160 STREET,2020000000000,"638 WEST 160TH OWNER, LLC",12/10/2018,10200000,0.02222,0.03253,2018Q4,10032,40.836672,-73.945304,12,7,247,1063319,Washington Heights South,"(40.836672, -73.945304)"
MN,1,1064,56,1010640056,448,448,WEST 55 STREET,2020000000000,"448 WEST 55TH STREET APARTMENT, LLC",06/25/2018,9900000,0.02358,0.03345,2018Q2,10019,40.76721,-73.988087,4,3,139,1026804,Clinton,"(40.76721, -73.988087)"
BK,3,6511,1,3065110001,800,800,AVENUE H,2020000000000,800 MIDWOOD LLC,07/18/2019,18000000,0.0313,0.032885,2019Q3,11230,40.62924,-73.96879,14,45,456,3170520,Midwood,"(40.62924, -73.96879)"
BK,3,6773,12,3067730012,2626,2626,KINGS HIGHWAY,2020000000000,KINGS 2626 HOLDINGS LLC,08/29/2018,15000000,0.02806,0.03538,2018Q3,11229,40.613983,-73.947756,15,48,642,3182257,Madison,"(40.613983, -73.947756)"
MN,1,2137,91,1021370091,86,86,FT WASHINGTON AVENUE,2020000000000,86 FT WASHINGTON LLC,10/30/2018,20140792,0.02459,0.03253,2018Q4,10032,40.838148,-73.943857,12,7,245,1063365,Washington Heights South,"(40.838148, -73.943857)"
MN,1,448,17,1004480017,66,66,EAST 7 STREET,2020000000000,EVP 66 EAST 7TH ST LLC,04/23/2021,10055518,0.0255,0.0556,2021Q2,10003,40.727504,-73.987019,3,2,38,1006274,East Village,"(40.727504, -73.987019)"
BX,2,2726,66,2027260066,1039,1039,SIMPSON STREET,2020000000000,1027 WESTCHESTER AVENUE LLC,08/08/2018,8150000,0.03005,0.03426,2018Q3,10459,40.824536,-73.892959,2,17,12701,2005798,Hunts Point,"(40.824536, -73.892959)"
BK,3,1833,48,3018330048,227,229,HANCOCK STREET,2020000000000,HANCOCK 21 PP HOLDINGS LLC,11/28/2018,6100000,0.0235,0.03398,2018Q4,11216,40.682854,-73.947334,3,36,249,3052307,Bedford,"(40.682854, -73.947334)"
BX,2,3273,321,2032730321,558,558,EAST 191 STREET,2020000000000,558 E191 BH LLC,09/01/2020,5500000,0.04088,0.046565,2020Q3,10458,40.85961,-73.885781,6,15,397,2016284,Belmont,"(40.85961, -73.885781)"
QN,4,9020,5,4090200005,86-08,86-08,ATLANTIC AVENUE,2020000000000,8608 10 LLC,05/20/2019,2400000,0.03939,0.03942,2019Q2,11416,40.686248,-73.855505,9,32,34,4451972,Woodhaven,"(40.686248, -73.855505)"
MN,1,2142,78,1021420078,636,636,WEST 172 STREET,2020000000000,636 WEST 172 WH REALTY LLC,01/21/2021,5000000,0.04628,0.05881,2021Q1,10032,40.844165,-73.939573,12,10,253,1063488,Washington Heights South,"(40.844165, -73.939573)"
BK,3,7810,19,3078100019,3801,3801,AVENUE L,2020000000000,3801 AVE L. REALTY LLC,04/02/2019,6075000,0.02508,0.03325,2019Q2,11210,40.622855,-73.938235,18,45,738,3217001,Flatlands,"(40.622855, -73.938235)"
QN,4,675,1,4006750001,34-47,34-47,42 STREET,2020000000000,GG 42 LLC,12/21/2018,2800000,0.03203,0.03303,2018Q4,11101,40.755185,-73.91986,1,26,159,4010955,Astoria,"(40.755185, -73.91986)"
MN,1,1831,48,1018310048,230,230,WEST 116 STREET,2020000000000,"230 WEST 116TH OWNER, LLC",12/10/2018,4100000,0.03235,0.03253,2018Q4,10026,40.803799,-73.953921,10,9,218,1055243,Central Harlem South,"(40.803799, -73.953921)"
BK,3,4968,25,3049680025,3405,3405,NEWKIRK AVENUE,2020000000000,NEWKIRK 3405 LLC,02/13/2020,4825000,0.04755,0.05115,2020Q1,11203,40.640246,-73.944384,17,45,830,3112396,East Flatbush-Farragut,"(40.640246, -73.944384)"
QN,4,324,1,4003240001,3-Sep,3-Sep,35 AVENUE,2020000000000,MY ONE JERUSALEM REALTY CORP,06/20/2018,4750000,0.02566,0.03129,2018Q2,,,,,,,,,
BK,3,1664,57,3016640057,401,401,MACON STREET,2020000000000,401 MACON LIVING LLC,11/07/2019,4100000,0.04005,0.04544,2019Q4,11233,40.682676,-73.935836,3,36,275,3046384,Stuyvesant Heights,"(40.682676, -73.935836)"
BK,3,6767,74,3067670074,2031,2031,OCEAN AVENUE,2020000000000,MIDWOOD APARTMENTS LLC,01/10/2019,5200000,0.02701,0.03386,2019Q1,11230,40.612377,-73.953858,14,48,546,3182099,Midwood,"(40.612377, -73.953858)"
MN,1,2144,29,1021440029,81,81,WADSWORTH AVENUE,2020000000000,"611 W 177TH, LLC",04/01/2019,13135000,0.03439,0.0351,2019Q2,10033,40.847339,-73.93678,12,10,263,1063546,Washington Heights South,"(40.847339, -73.93678)"
BK,3,1096,35,3010960035,558,558,11 STREET,2020000000000,M&M PARK SLOPE REALTY LLC,02/23/2021,5700000,0.05533,0.0638,2021Q1,11215,40.664821,-73.980799,6,39,151,3026288,Park Slope-Gowanus,"(40.664821, -73.980799)"
BX,2,4994,41,2049940041,4206,4206,CARPENTER AVENUE,2020000000000,"LAL-ROUGHLOCK CARPENTER, LLC",11/23/2020,5050000,0.04475,0.04708,2020Q4,10466,40.894604,-73.86009,12,11,420,2068051,Williamsbridge-Olinville,"(40.894604, -73.86009)"
BK,3,5328,23,3053280023,134,146,OCEAN PARKWAY,2020000000000,S&G OCEAN LLC,08/28/2018,18300000,0.03145,0.03538,2018Q3,11218,40.64666,-73.975031,12,39,500,,Windsor Terrace,"(40.64666, -73.975031)"
