bbl,isn_dob_bis_extract,dob_violation_number,ecb_violation_status,issue_date,violation_type,elig_flag,qual_flag,swl_flag
1015260047,NA,NA,NA,NA,NA,T,F,F
1015270032,NA,NA,NA,NA,NA,T,F,F
1015280005,NA,NA,NA,NA,NA,T,F,F
1015280009,NA,NA,NA,NA,NA,T,F,F
1015280021,NA,NA,NA,NA,NA,T,T,F
1015290038,NA,NA,NA,NA,NA,T,F,F
1015300015,NA,NA,NA,NA,NA,T,F,F
1015300044,NA,NA,NA,NA,NA,T,F,F
1015310038,597079,,ACTIVE,2020-03-17T00:00:00Z,Construction,T,T,F
1015310038,1327152,,RESOLVE,2020-03-17T00:00:00Z,Construction,T,T,F
1015310038,402478,,RESOLVE,2020-03-17T00:00:00Z,Construction,T,T,F
1015320044,NA,NA,NA,NA,NA,T,F,F
1015320045,NA,NA,NA,NA,NA,T,F,F
1015330043,NA,NA,NA,NA,NA,T,F,F
1015340004,NA,NA,NA,NA,NA,T,F,F
1015340012,1270041,10182017C08DM01,RESOLVE,2017-10-18T00:00:00Z,Construction,T,F,F
1015340012,1305520,,ACTIVE,2019-10-01T00:00:00Z,Construction,T,F,F
1015340012,1306114,,ACTIVE,2019-10-22T00:00:00Z,Construction,T,F,F
1015340012,1325269,,RESOLVE,2019-04-04T00:00:00Z,Construction,T,F,F
1015340012,1515331,01162020C08DA04,ACTIVE,2020-01-16T00:00:00Z,Construction,T,F,F
1015340012,1515298,01162020C08DA03,ACTIVE,2020-01-16T00:00:00Z,Construction,T,F,F
1015340012,1069473,01162020C08DA02,RESOLVE,2020-01-16T00:00:00Z,Construction,T,F,F
1015340014,NA,NA,NA,NA,NA,T,F,F
1015340015,NA,NA,NA,NA,NA,T,F,F
1015340016,NA,NA,NA,NA,NA,T,F,F
1015340028,NA,NA,NA,NA,NA,T,F,F
1015350020,1408391,,RESOLVE,2019-08-14T00:00:00Z,Construction,T,F,F
1015350020,1491012,102319C08DA01,RESOLVE,2019-10-23T00:00:00Z,Construction,T,F,F
1015350040,NA,NA,NA,NA,NA,T,F,F
1015400001,NA,NA,NA,NA,NA,T,F,F
1015400027,NA,NA,NA,NA,NA,T,F,F
1015400029,NA,NA,NA,NA,NA,T,F,F
1015400030,NA,NA,NA,NA,NA,T,F,F
1015400037,NA,NA,NA,NA,NA,T,F,F
1015400111,NA,NA,NA,NA,NA,T,F,F
1015410043,NA,NA,NA,NA,NA,T,F,F
1015430008,NA,NA,NA,NA,NA,T,F,F
1015430149,NA,NA,NA,NA,NA,T,F,F
1015440016,NA,NA,NA,NA,NA,T,F,F
1015440017,NA,NA,NA,NA,NA,T,F,F
1015440038,1495733,,RESOLVE,2020-05-04T00:00:00Z,Construction,T,F,F
1015450030,NA,NA,NA,NA,NA,T,F,F
1015450042,NA,NA,NA,NA,NA,T,F,F
1015450125,NA,NA,NA,NA,NA,T,F,F
1015460021,NA,NA,NA,NA,NA,T,F,F
1015460041,NA,NA,NA,NA,NA,T,F,F
1015460049,NA,NA,NA,NA,NA,T,F,F
1015470005,NA,NA,NA,NA,NA,T,F,F
